Province.State,StateOfEmergency,LimitGatherings,ClosePublicSchools,RestrictBusinesses,StayAtHome,PercentMobilityChange
Alabama,2020-03-13,2020-03-19,2020-03-13,2020-03-17,NA,-18
Alaska,2020-03-11,NA,2020-03-13,2020-03-17,NA,-34
Arizona,2020-03-11,NA,2020-03-15,NA,NA,-26
Arkansas,2020-03-11,NA,2020-03-15,2020-03-19,NA,-27
California,2020-03-03,2020-03-11,NA,2020-03-15,2020-03-19,-39
Colorado,2020-03-10,2020-03-18,2020-03-18,2020-03-16,NA,-29
Connecticut,2020-03-10,2020-03-12,2020-03-15,2020-03-16,2020-03-20,-37
Delaware,2020-03-12,2020-03-16,2020-03-13,2020-03-16,2020-03-22,-29
District of Columbia,2020-03-11,2020-03-13,2020-03-13,2020-03-16,NA,-57
Florida,2020-03-09,NA,2020-03-17,2020-03-17,NA,-32
Georgia,2020-03-13,NA,2020-03-17,NA,NA,-21
Hawaii,2020-03-04,2020-03-17,2020-03-15,2020-03-17,NA,-26
Idaho,2020-03-13,NA,NA,NA,NA,-11
Illinois,2020-03-09,2020-03-12,2020-03-13,2020-03-15,2020-03-20,-28
Indiana,2020-03-06,2020-03-12,2020-03-18,2020-03-16,NA,-13
Iowa,2020-03-09,2020-03-17,NA,2020-03-17,NA,-12
Kansas,2020-03-12,2020-03-16,2020-03-17,NA,NA,-18
Kentucky,2020-03-06,NA,2020-03-13,2020-03-16,NA,-16
Louisiana,2020-03-11,2020-03-13,2020-03-13,2020-03-16,2020-03-22,-30
Maine,2020-03-15,2020-03-18,NA,2020-03-18,NA,-26
Maryland,2020-03-05,2020-03-16,2020-03-12,2020-03-16,NA,-32
Massachusetts,2020-03-10,2020-03-13,2020-03-15,2020-03-15,NA,-40
Michigan,2020-03-10,2020-03-17,2020-03-12,2020-03-16,2020-03-22,-27
Minnesota,2020-03-13,NA,2020-03-15,2020-03-16,NA,-29
Mississippi,2020-03-14,NA,NA,NA,NA,-18
Missouri,2020-03-13,2020-03-21,2020-03-19,2020-03-21,NA,-16
Montana,2020-03-12,NA,2020-03-15,2020-03-20,NA,-11
Nebraska,2020-03-13,NA,NA,2020-03-19,NA,-15
Nevada,2020-03-12,NA,2020-03-15,2020-03-17,NA,-49
New Hampshire,2020-03-13,2020-03-16,2020-03-15,2020-03-16,NA,-40
New Jersey,2020-02-03,2020-03-12,2020-03-16,2020-03-16,2020-03-21,-42
New Mexico,2020-03-11,2020-03-15,2020-03-12,2020-03-15,NA,-15
New York,2020-03-08,2020-03-12,2020-03-16,2020-03-16,2020-03-20,-45
North Carolina,2020-03-10,2020-03-14,2020-03-14,2020-03-17,NA,-25
North Dakota,2020-03-13,NA,2020-03-15,2020-03-19,NA,-11
Ohio,2020-03-09,2020-03-17,2020-03-12,2020-03-15,2020-03-22,-20
Oklahoma,2020-03-15,NA,2020-03-16,NA,NA,-17
Oregon,2020-03-08,2020-03-16,2020-03-12,2020-03-16,NA,-21
Pennsylvania,2020-03-06,2020-03-16,2020-03-13,2020-03-18,NA,-30
Rhode Island,2020-03-09,2020-03-16,2020-03-13,2020-03-16,NA,-36
South Carolina,2020-03-13,2020-03-17,2020-03-13,2020-03-17,NA,-20
South Dakota,2020-03-13,NA,2020-03-13,NA,NA,-10
Tennessee,2020-03-12,2020-03-22,2020-03-16,2020-03-22,NA,-17
Texas,2020-03-13,2020-03-19,2020-03-19,2020-03-19,NA,-23
Utah,2020-03-06,2020-03-17,2020-03-13,2020-03-17,NA,-28
Vermont,2020-03-13,2020-03-16,2020-03-15,2020-03-16,NA,-40
Virginia,2020-03-12,2020-03-15,2020-03-13,2020-03-17,NA,-27
Washington,2020-02-29,2020-03-13,2020-03-13,2020-03-15,NA,-28
West Virginia,2020-03-04,2020-03-21,2020-03-13,2020-03-18,NA,-19
Wisconsin,2020-03-12,2020-03-16,2020-03-14,2020-03-16,NA,-19
Wyoming,2020-03-13,NA,2020-03-19,2020-03-19,NA,-24
