Province.State,Vaccination_Rate ,2020_PopSize
Alaska,0.74,734002
Missouri,0.76,6169270
Wyoming,0.77,567025
Colorado,0.77,5845526
Oklahoma,0.78,3954821
Oregon,0.78,4301089
Kansas,0.79,2910357
Indiana,0.79,6745354
Montana,0.79,1086759
Georgia,0.79,10736059
Washington,0.79,7797095
Louisiana,0.79,4645184
Hawaii,0.79,1412687
Arkansas,0.79,3038999
New Jersey,0.79,8936574
South Carolina,0.79,5210095
Utah,0.8,3282115
South Dakota,0.8,903027
Texas,0.8,29472295
Nevada,0.8,3139658
Ohio,0.81,11747694
Wisconsin,0.81,5851754
California,0.81,39937489
Arizona,0.81,7378494
Michigan,0.81,10045029
Alabama,0.81,4908621
Idaho,0.81,1826156
Minnesota,0.81,5700671
Mississippi,0.82,2989260
New York,0.82,19440469
West Virginia,0.82,1778070
Maryland,0.82,6083116
Pennsylvania,0.83,12820878
Illinois,0.83,12659682
District of Columbia,0.83,720687
Iowa,0.84,3179849
Vermont,0.84,628061
Kentucky,0.84,4499692
Florida,0.85,21992985
North Carolina,0.85,10611862
Connecticut,0.86,3563077
Nebraska,0.86,1952570
New Mexico,0.86,2096640
North Dakota,0.86,761723
Tennessee,0.87,6897576
Delaware,0.87,982895
Rhode Island,0.88,1056161
New Hampshire,0.88,1371246
Maine,0.88,1345790
Virginia,0.92,8626207
Massachusetts,0.93,6976597
